Title,Author,category,age,borrowings_count,borrowings_duration_avg,borrowings_duration_std,unique_readers,copy_count,demand_per_copy,reader_pressure,utilization_score
INITIATION À SQL : COURS ET EXERCICES CORRIGÉS,"CHALMOND, MARTINE",4,25.0,1,10.0,0.0,1,1,1.0,1.0,0.4
"INTRODUCTION A L'ANALYSE MATHÉMATIQUE. T. 3, INTÉGRATION, CALCULS DES PRIMITIVES, ÉQUATIONS DIFFÉRENTIELLES","KHELLADI, ABDELKADER",4,17.0,1,10.0,0.0,1,9,0.1111111111111111,0.1111111111111111,0.0072621641249092225
INTRODUCTION A L'ARCHITECTURE DES ORDINATEURS,"DRIAS-ZERKAOUI, HABIBA",4,20.0,5,14.6,2.1908902300206647,5,15,0.3333333333333333,0.3333333333333333,0.025419586781142832
"INTRODUCTION AU TRAITEMENT D'IMAGES : THÉORIES, ALGORITHMES, APPLICATIONS","LINGRAND, DIANE",4,18.0,1,17.0,0.0,1,2,0.5,0.5,0.2361111111111111
INTRODUCTION TO THE DESIGN AND ANALYSIS OF ALGORITHMS,"LEVITIN, ANANY.",2,14.0,3,15.666666666666666,1.1547005383792515,3,3,1.0,1.0,0.5193518074160587
INTRODUCTION À LA LOGIQUE : THÉORIE DE LA DÉMONSTRATION : COURS ET EXERCICES,"DAVID, RENÉ",2,25.0,1,15.0,0.0,1,1,1.0,1.0,0.6
JAVA-XML,"FLEURY, RENAUD",2,22.0,1,15.0,0.0,1,1,1.0,1.0,0.6818181818181818
L'ALGEBRE DES STRUCTURES,HENICHE .H,2,33.0,1,11.0,0.0,1,2,0.5,0.5,0.08333333333333333
LE DÉFI ALGÉBRIQUE TOME 1,"MUTAFIAN, CLAUDE",1,51.0,1,15.0,0.0,1,3,0.3333333333333333,0.3333333333333333,0.0326797385620915
LE MBA VISUEL : DEUX ANNÉES DE MBA EN UN UN SEUL LIVRE DANS LEQUEL UN DESSIN VAUT MIEUX QUE 1000 MOT,BARRON JASON,2,7.0,1,15.0,0.0,1,4,0.25,0.25,0.13392857142857142
LECTURE NOTES IN ENGLISH FOR COMPUTING,BELABDELOUAHAB-FERNINI LINDA,1,9.0,1,15.0,0.0,1,20,0.05,0.05,0.0041666666666666675
"LES MATHÉMATIQUES EN LICENCE : COURS ET EXERCICES RÉSOLUS, 2E ANNÉE. TOME1","AZOULAY, ELIE",4,23.0,1,10.0,0.0,1,2,0.5,0.5,0.10869565217391304
LOGIQUE MATHÉMATIQUE : COURS ET EXERCICES CORRIGÉS,RENÉ CORI,4,23.0,3,18.333333333333332,10.408329997330664,3,7,0.42857142857142855,0.42857142857142855,0.01283328836706773
MACHINE LEARNING AVEC SCIKIT-LEARN,"GÉRON, AURÉLIEN",4,16.26829268292683,2,15.0,0.0,2,3,0.6666666666666666,0.6666666666666666,0.40979510244877554
MARKETING MANAGEMENT,KELLER KOTLER,3,7.0,1,17.0,0.0,1,4,0.25,0.25,0.15178571428571427
MATHEMATICAL LOGIC,OXFORD LOGIC,2,19.0,5,18.8,6.340346993658944,5,6,0.8333333333333334,0.8333333333333334,0.09361062951350486
MATHEMATICS FOR MACHINE LEARNING,"DEISENROTH, MARC",2,6.0,1,15.0,0.0,1,6,0.16666666666666666,0.16666666666666666,0.06944444444444443
MATHS PCSI-PTSI,OUDOT XAVIER,1,13.0,2,15.0,0.0,2,2,1.0,1.0,1.1538461538461537
MATHS PCSI-PTSI : 1RE ANNÉE,"ALLANO-CHEVALIER, MARIE",2,18.0,1,11.0,0.0,1,2,0.5,0.5,0.1527777777777778
"MATHS, MPSI","MANSUY, ROGER",1,13.0,2,16.0,1.4142135623730951,2,4,0.5,0.5,0.12745032688402924
MATHÉMATIQUE DISCRÈTE : OUTIL POUR L'INFORMATICIEN,"MARCHAND, MICHEL",1,37.0,1,15.0,0.0,1,1,1.0,1.0,0.40540540540540543
MATHÉMATIQUES : MÉTHODES ET EXERCICES MP,"MONIER, JEAN-MARIE",3,17.0,1,7.0,0.0,1,2,0.5,0.5,0.10294117647058823
MATHÉMATIQUES MPSI,"NGUYEN, NICOLAS",1,17.0,1,15.0,0.0,1,2,0.5,0.5,0.22058823529411764
MATHÉMATIQUES RAPPELS ET COURS EXERCICES RÉSOLUS,A.BENAYAD,1,22.0,9,15.666666666666666,1.0,9,61,0.14754098360655737,0.14754098360655737,0.0077508489897632595
MATHÉMATIQUES T.2 : FONCTIONS DE PLUSIEURS VARIABLES RÉELLES,"MEHBALI, MOHAMED",3,11.0,1,7.0,0.0,1,4,0.25,0.25,0.03977272727272727
"MATHÉMATIQUES, EC 1RE ANNÉE : TOUT-EN-UN : COURS ET EXERCICES","WARUSFEL, ANDRÉ",0,22.0,1,16.0,0.0,1,2,0.5,0.5,0.18181818181818182
NEURAL NETWORKS AND DEEP LEARNING,"C.AGGARWAL,CHARU",0,3.0,2,15.5,0.7071067811865476,2,3,0.6666666666666666,0.6666666666666666,1.3451392271432634
PARLER ET FAIRE UNE PRÉSENTATION EN PUBLIC EN TOUTE CONFIANCE : APPRENDRE,"ISRAEL, MARC",3,7.0,1,7.0,0.0,1,4,0.25,0.25,0.0625
"PASS BIOSTATISTIQUES, PROBABILITÉS, MATHÉMATIQUES : PARCOURS SANTÉ & L.AS","BELAZREG, SALAH",2,5.0,2,15.0,0.0,2,3,0.6666666666666666,0.6666666666666666,1.3333333333333333
PATTERN RECOGNITION AND MACHINE LEARNING,"M.BISHOP ,CHRISTOPHER",3,20.0,1,15.0,0.0,1,6,0.16666666666666666,0.16666666666666666,0.020833333333333332
